datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,hour,day,month,year,day_of_week
2006-12-16 17:00:00,1.0,0.5812271610545644,0.17377282424625307,1.0,0.0,0.019744034184197286,0.8835516739446871,17,16,12,2006,5
2006-12-16 18:00:00,0.8732114864642777,0.11990627000020618,0.1693693154137037,0.8850559641448031,0.0,0.25126881398625805,0.8838427947598254,18,16,12,2006,5
2006-12-16 19:00:00,0.8148632341784753,0.13600966203522072,0.07623913471627475,0.8196949288577908,0.0,0.05362064020550421,0.8742358078602621,19,16,12,2006,5
2006-12-16 20:00:00,0.7817441658455365,0.10462869294134627,0.1342180278192764,0.7847297549656505,0.0,0.0,0.8794759825327513,20,16,12,2006,5
2006-12-16 21:00:00,0.72839311981959,0.10948035592625446,0.34755593742334057,0.7328779914096921,0.0,0.015587395408576805,0.9021834061135371,21,16,12,2006,5
2006-12-16 22:00:00,0.5129934070415662,0.04599582963437032,0.45821569207840795,0.5228882822960992,0.0,0.004987966530744577,0.23231441048034937,22,16,12,2006,5
2006-12-16 23:00:00,0.47814711641075774,0.09327373701922059,0.5867275095681315,0.48553911927494936,0.0,0.0031174790817153604,0.0,23,16,12,2006,5
2006-12-17 00:00:00,0.4330884143294382,0.18927472799719183,0.6103728547291283,0.4396473285415151,0.0,0.017457882857606022,0.0,0,17,12,2006,6
2006-12-17 01:00:00,0.8020767584296825,0.296114540537192,0.5748875607977908,0.8043976652799794,0.0,0.9439726659434112,0.0,1,17,12,2006,6
2006-12-17 02:00:00,0.3588346246695636,0.11433201891116271,0.9460031534805218,0.3647503367384644,0.0,0.021198857755664453,0.0,2,17,12,2006,6
2006-12-17 03:00:00,0.37768314760942334,0.11835786691991632,0.8558099250558904,0.384815578574295,0.0,0.02868080755178132,0.0,3,17,12,2006,6
2006-12-17 04:00:00,0.5169257723702113,0.16150669942399368,0.8103389933970426,0.5115643339333038,0.0,0.021198857755664453,0.46550218340611355,4,17,12,2006,6
2006-12-17 05:00:00,0.46183073489787213,0.05858950802072782,0.8002957683700629,0.46587120896062034,0.0,0.006234958163430721,0.2436681222707424,5,17,12,2006,6
2006-12-17 06:00:00,0.28740643653581566,0.165739001176786,0.830102954573988,0.28488670091664375,0.0,0.026810320102752104,0.0,6,17,12,2006,6
2006-12-17 07:00:00,0.3670766611686215,0.05724755868447662,0.6714499445434328,0.3607770215234484,0.0,0.006234958163430721,0.0,7,17,12,2006,6
2006-12-17 08:00:00,0.4351258658749836,0.23923653405454456,0.6345364855853255,0.4350780160442468,0.0,0.028057311735438246,0.0,8,17,12,2006,6
2006-12-17 09:00:00,0.6007631304109844,0.11742882507174243,0.46428539344218933,0.6093078882226961,0.0,0.27371466337460865,0.0,9,17,12,2006,6
2006-12-17 10:00:00,0.872381413612389,0.4746970291306223,0.228856995762726,0.8810826489297873,0.4973313925278985,0.8361078897160598,0.8462882096069869,10,17,12,2006,6
2006-12-17 11:00:00,0.5811264574905431,0.4935875467101585,0.33138542373311,0.5807000186745813,0.5290560967416856,0.18767224071926472,0.9004366812227075,11,17,12,2006,6
